ordinal,id_plataforma,paginas,classe_aderencia,status_banco,assunto,subassunto,item_primario,itens_secundarios,tipo_correspondencia,confianca,texto_completo,cinco_alternativas,caracteristicas,elemento_visual_recuperado,extracao_suficiente,gabarito_origem,resposta_operacional,anulacao_oficial_identificada_no_acervo,conflito_gabarito_detectado_fontes_disponiveis,grupo_duplicata,registro_principal,apta_estudo,potencial_simulado,resultado_recuperacao_v2,motivos
392,4001384454,164,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,A,não,não,,392,sim,sim,,
393,4001384566,164,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,A,não,não,,393,sim,sim,,
395,4001574586,165,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,D,não,não,,395,sim,sim,,
396,4001580961,"165,166",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL",não,sim,plataforma secundária,D,não,não,,396,sim,sim,,
397,4001580962,"166,167",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,A,não,não,,397,sim,sim,,
398,4001592623,167,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",DDL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,B,não,não,,398,sim,sim,,
399,4001592625,167,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,D,não,não,,399,sim,sim,,
400,4001592626,"167,168",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,D,não,não,,400,sim,sim,,
401,4001593153,"168,169",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,A,não,não,,401,sim,sim,,
402,4001593218,169,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,C,não,não,,402,sim,sim,,
403,4001593272,169,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,B,não,não,,403,sim,sim,,
404,4001593331,"169,170",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"SQL, tabela",não,sim,plataforma secundária,E,não,não,,404,sim,sim,,
405,4001593347,170,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,texto,sim,sim,plataforma secundária,D,não,não,,405,sim,sim,RECUPERADA_INTEGRALMENTE,
406,4001593420,"170,171",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,B,não,não,,406,sim,sim,RECUPERADA_INTEGRALMENTE,
407,4001624877,171,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,B,não,não,,407,sim,sim,,
408,4001677917,"171,172",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,texto,sim,sim,plataforma secundária,C,não,não,,408,sim,sim,RECUPERADA_INTEGRALMENTE,
409,4001678401,172,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,B,não,não,,409,sim,sim,RECUPERADA_INTEGRALMENTE,
410,4001678573,"172,173",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL",não,sim,plataforma secundária,B,não,não,,410,sim,sim,,
411,4001685489,173,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,E,não,não,,411,sim,sim,,
412,4001685510,"173,174",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,tabela,sim,sim,plataforma secundária,D,não,não,,412,sim,sim,RECUPERADA_INTEGRALMENTE,
413,4001685516,174,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL",não,sim,plataforma secundária,A,não,não,,413,sim,sim,,
414,4001686723,"174,175",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,B,não,não,,414,sim,sim,,
415,4001686728,"175,176",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,tabela,sim,sim,plataforma secundária,B,não,não,,415,sim,sim,RECUPERADA_INTEGRALMENTE,
416,4001686733,"176,177",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,C,não,não,,416,sim,sim,,
417,4001686736,"177,178",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,C,não,não,,417,sim,sim,,
418,4001686739,178,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,B,não,não,,418,sim,sim,,
419,4001686748,179,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,tabela,sim,sim,plataforma secundária,E,não,não,,419,sim,sim,,
420,4001945111,179,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,B,não,não,,420,sim,sim,,
421,4001507276,179,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,D,não,não,,421,sim,sim,,
422,4001384430,"179,180",ADERENTE_DIRETA,ADERENTE_DIRETA,SGBD,"Triggers, eventos e granularidade de disparo",SGBD,,direta,alta,sim,sim,"código, SQL",não,sim,plataforma secundária,A,não,não,,422,sim,sim,,
424,4002385168,180,ADERENTE_DIRETA,ADERENTE_DIRETA,SGBD,"Triggers, eventos e granularidade de disparo",SGBD,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,E,não,não,,424,sim,sim,,
426,4001094072,181,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,A,não,não,,426,sim,sim,RECUPERADA_INTEGRALMENTE,
427,4001336427,181,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,D,não,não,,427,sim,sim,,
428,4001469330,"181,182",ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,"Modelo conceitual, lógico, ER e cardinalidade","Modelagem conceitual, lógica e física",,direta,alta,sim,sim,texto,não,sim,plataforma secundária,D,não,não,,428,sim,sim,,
429,4001875878,182,ADERENTE_DIRETA,ADERENTE_DIRETA,Transações,"ACID, concorrência e transações distribuídas",Propriedades de banco de dados,SGBD,direta,alta,sim,sim,texto,não,sim,plataforma secundária,C,não,não,,429,sim,sim,,
430,4002432942,182,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL",não,sim,plataforma secundária,E,não,não,,430,sim,sim,,
431,4002446254,"182,183",ADERENTE_DIRETA,ADERENTE_DIRETA,Transações,"ACID, concorrência e transações distribuídas",Propriedades de banco de dados,SGBD,direta,alta,sim,sim,texto,não,sim,plataforma secundária,B,não,não,,431,sim,sim,,
432,4002446249,183,ADERENTE_DIRETA,ADERENTE_DIRETA,Transações,"ACID, concorrência e transações distribuídas",Propriedades de banco de dados,SGBD,direta,alta,sim,sim,texto,não,sim,plataforma secundária,B,não,não,,432,sim,sim,,
436,4002428449,184,ADERENTE_DIRETA,ADERENTE_DIRETA,Transações,"ACID, concorrência e transações distribuídas",Propriedades de banco de dados,SGBD,direta,alta,sim,sim,texto,não,sim,plataforma secundária,C,não,não,,436,sim,sim,,
437,4000999057,"184,185",ADERENTE_DIRETA,ADERENTE_DIRETA,Transações,"ACID, concorrência e transações distribuídas",Propriedades de banco de dados,SGBD,direta,alta,sim,sim,texto,não,sim,plataforma secundária,B,não,não,,437,sim,sim,,
438,4002379579,185,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL",não,sim,plataforma secundária,D,não,não,,438,sim,sim,,
439,4002270990,185,ADERENTE_DIRETA,ADERENTE_DIRETA,Transações,"ACID, concorrência e transações distribuídas",Propriedades de banco de dados,SGBD,direta,alta,sim,sim,texto,não,sim,plataforma secundária,D,não,não,,439,sim,sim,,
440,4002272801,"185,186",ADERENTE_DIRETA,ADERENTE_DIRETA,Transações,"ACID, concorrência e transações distribuídas",Propriedades de banco de dados,SGBD,direta,alta,sim,sim,texto,não,sim,plataforma secundária,D,não,não,,440,sim,sim,,
448,4001730202,188,ADERENTE_DIRETA,ADERENTE_DIRETA,Infraestrutura,"Armazenamento, data center e sistemas",Metadados,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,E,não,não,,448,sim,sim,,
452,4001888307,189,ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,"Modelo conceitual, lógico, ER e cardinalidade","Modelagem conceitual, lógica e física",,direta,alta,sim,sim,texto,não,sim,plataforma secundária,E,não,não,,452,sim,sim,,
456,4001995527,"190,191",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,E,não,não,,456,sim,sim,,
458,4002428428,191,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,B,não,não,,458,sim,sim,,
459,4002464816,191,ADERENTE_DIRETA,ADERENTE_DIRETA,Transações,"ACID, concorrência e transações distribuídas","Modelagem conceitual, lógica e física",,direta,alta,sim,sim,texto,não,sim,plataforma secundária,C,não,não,,459,sim,sim,,
460,4001574643,"191,192",ADERENTE_DIRETA,ADERENTE_DIRETA,Transações,"ACID, concorrência e transações distribuídas",Propriedades de banco de dados,SGBD,direta,alta,sim,sim,texto,não,sim,plataforma secundária,B,não,não,,460,sim,sim,,
461,4001445982,192,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,Integridade referencial,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,C,não,não,,461,sim,sim,,
462,4001545934,192,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,B,não,não,,462,sim,sim,,
463,4000870743,193,ADERENTE_DIRETA,ADERENTE_DIRETA,Normalização,Dependências funcionais e formas normais,Normalização,,direta,alta,sim,sim,"tabela, fórmula",não,sim,plataforma secundária,B,não,não,,463,sim,sim,,
465,4001274549,"193,194",ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,"Modelo conceitual, lógico, ER e cardinalidade","Modelagem conceitual, lógica e física",,direta,alta,sim,sim,texto,não,sim,plataforma secundária,C,não,não,,465,sim,sim,,
466,4001672795,194,ADERENTE_DIRETA,ADERENTE_DIRETA,Big Data e Data Lake,Data lakes e soluções para big data,Data lakes e soluções para big data,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,C,não,não,,466,sim,sim,,
468,4001730591,"194,195",ADERENTE_DIRETA,ADERENTE_DIRETA,Metadados,Metadados e catálogo de dados,Metadados,SGBD,direta,alta,sim,sim,texto,não,sim,plataforma secundária,E,não,não,,468,sim,sim,,
469,4001788468,195,ADERENTE_DIRETA,ADERENTE_DIRETA,Transações,"ACID, concorrência e transações distribuídas",Integridade referencial,"Modelagem conceitual, lógica e física",direta,alta,sim,sim,tabela,não,sim,plataforma secundária,D,não,não,,469,sim,sim,,
481,4001385931,199,ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,"Modelo conceitual, lógico, ER e cardinalidade","Modelagem conceitual, lógica e física",,direta,alta,sim,sim,texto,não,sim,plataforma secundária,C,não,não,,481,sim,sim,,
486,4001592614,200,ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,"Modelo conceitual, lógico, ER e cardinalidade","Modelagem conceitual, lógica e física",,direta,alta,sim,sim,texto,não,sim,plataforma secundária,A,não,não,,486,sim,sim,RECUPERADA_INTEGRALMENTE,
496,4001507280,203,ADERENTE_PARCIAL,ADERENTE_PARCIAL,SGBD,"Arquitetura, administração e recursos de SGBD",SGBD,,parcial,média,sim,sim,texto,não,sim,plataforma secundária,D,não,não,,496,sim,sim,,
497,4002379572,"203,204",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,D,não,não,,497,sim,sim,,
498,4002379580,204,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,Abordagem relacional e multidimensional,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,E,não,não,,498,sim,sim,,
504,4001379426,206,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL",não,sim,plataforma secundária,A,não,não,,504,sim,sim,,
505,4001395956,206,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,C,não,não,,505,sim,sim,,
506,4001395964,"206,207",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,E,não,não,,506,sim,sim,,
507,4001427989,"207,208",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",DML,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,E,não,não,,507,sim,sim,,
508,4001445942,208,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,C,não,não,,508,sim,sim,,
510,4002379574,209,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,A,não,não,,510,sim,sim,,
511,4002428432,209,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,D,não,não,,511,sim,sim,,
512,4002464799,209,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,C,não,não,,512,sim,sim,,
513,4001165797,"209,210",ADERENTE_DIRETA,ADERENTE_DIRETA,NoSQL,Modelos NoSQL,"Modelagem conceitual, lógica e física",,direta,alta,sim,sim,texto,não,sim,plataforma secundária,A,não,não,,513,sim,sim,,
514,4002424928,210,ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,"Modelo conceitual, lógico, ER e cardinalidade","Modelagem conceitual, lógica e física",,direta,alta,sim,sim,texto,não,sim,plataforma secundária,A,não,não,,514,sim,sim,,
516,4002467248,"210,211",ADERENTE_DIRETA,ADERENTE_DIRETA,Infraestrutura,"Armazenamento, data center e sistemas",SGBD,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,D,não,não,,516,sim,sim,,
517,4001680603,211,ADERENTE_DIRETA,ADERENTE_DIRETA,NoSQL,Modelos NoSQL,Banco de dados NoSQL,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,D,não,não,,517,sim,sim,,
518,4002379575,211,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,tabela,sim,sim,plataforma secundária,E,não,não,,518,sim,sim,,
519,4000870727,"211,212",ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,"Modelo conceitual, lógico, ER e cardinalidade","Modelagem conceitual, lógica e física",,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,E,não,não,,519,sim,sim,,
521,4002130246,212,ADERENTE_DIRETA,ADERENTE_DIRETA,Transações,"ACID, concorrência e transações distribuídas",Propriedades de banco de dados,SGBD,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,B,não,não,,521,sim,sim,,
526,4001445948,214,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",Normalização,,direta,alta,sim,sim,"código, SQL, tabela",sim,sim,plataforma secundária,A,não,não,,526,sim,sim,,
527,4001445975,214,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,E,não,não,,527,sim,sim,,
528,4001572806,215,ADERENTE_PARCIAL,ADERENTE_PARCIAL,SGBD,"Arquitetura, administração e recursos de SGBD",SGBD,,parcial,média,sim,sim,texto,não,sim,plataforma secundária,B,não,não,,528,sim,sim,,
529,4001730230,215,ADERENTE_PARCIAL,ADERENTE_PARCIAL,SGBD,"Arquitetura, administração e recursos de SGBD",SGBD,,parcial,média,sim,sim,texto,não,sim,plataforma secundária,C,não,não,,529,sim,sim,,
532,4001362025,216,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL",não,sim,plataforma secundária,D,não,não,,532,sim,sim,,
534,4001328563,"216,217",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,B,não,não,,534,sim,sim,,
535,4002432935,217,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,C,não,não,,535,sim,sim,,
537,4001574572,"217,218",ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,Mapeamento objeto-relacional,"Modelagem conceitual, lógica e física",,direta,alta,sim,sim,texto,não,sim,plataforma secundária,B,não,não,,537,sim,sim,RECUPERADA_INTEGRALMENTE,
539,4002030152,218,ADERENTE_DIRETA,ADERENTE_DIRETA,Normalização,Dependências funcionais e formas normais,Normalização,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,E,não,não,,539,sim,sim,RECUPERADA_INTEGRALMENTE,
541,4001069832,219,ADERENTE_DIRETA,ADERENTE_DIRETA,Integração de dados,"ETL, ELT, ingestão e preparação","ETL/ELT, transferência de arquivos e integração via base de dados",,direta,alta,sim,sim,texto,não,sim,plataforma secundária,C,não,não,,541,sim,sim,,
542,4001094109,219,ADERENTE_PARCIAL,ADERENTE_PARCIAL,Programação,"Linguagens, frameworks e código de aplicação","Modelagem conceitual, lógica e física",,parcial,média,sim,sim,texto,não,sim,plataforma secundária,D,não,não,,542,sim,sim,,
543,4001272013,219,ADERENTE_PARCIAL,ADERENTE_PARCIAL,SGBD,"Arquitetura, administração e recursos de SGBD","Modelagem conceitual, lógica e física",,parcial,média,sim,sim,tabela,não,sim,plataforma secundária,B,não,não,,543,sim,sim,,
544,4001427983,"219,220",ADERENTE_DIRETA,ADERENTE_DIRETA,Normalização,Dependências funcionais e formas normais,Normalização,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,C,não,não,,544,sim,sim,,
546,4001730467,220,ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,"Modelo conceitual, lógico, ER e cardinalidade","Modelagem conceitual, lógica e física",,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,E,não,não,,546,sim,sim,,
547,4002111750,"220,221",ADERENTE_PARCIAL,ADERENTE_PARCIAL,Qualidade de dados,Data profiling e diagnóstico de qualidade,Mapeamento de fontes e técnicas de coleta de dados,"Inteligência Artificial, Análise de Dados e Big Data",parcial,média,sim,sim,texto,não,sim,plataforma secundária,D,não,não,,547,sim,sim,,
548,4001243859,221,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,C,não,não,,548,sim,sim,,
549,4001362037,"221,222",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",DML,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,B,não,não,,549,sim,sim,,
550,4001424087,222,ADERENTE_DIRETA,ADERENTE_DIRETA,Transações,"ACID, concorrência e transações distribuídas",Propriedades de banco de dados,SGBD,direta,alta,sim,sim,texto,não,sim,plataforma secundária,B,não,não,,550,sim,sim,,
551,4001572733,222,ADERENTE_PARCIAL,ADERENTE_PARCIAL,SGBD,"Arquitetura, administração e recursos de SGBD",SGBD,,parcial,média,sim,sim,tabela,não,sim,plataforma secundária,A,não,não,,551,sim,sim,,
552,4001572740,"222,223",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL",não,sim,plataforma secundária,E,não,não,,552,sim,sim,,
553,4001572767,223,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,D,não,não,,553,sim,sim,,
554,4001580494,223,ADERENTE_DIRETA,ADERENTE_DIRETA,Transações,"ACID, concorrência e transações distribuídas",Propriedades de banco de dados,SGBD,direta,alta,sim,sim,texto,não,sim,plataforma secundária,C,não,não,,554,sim,sim,,
555,4001677883,223,ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,"Modelo conceitual, lógico, ER e cardinalidade","Modelagem conceitual, lógica e física",,direta,alta,sim,sim,texto,não,sim,plataforma secundária,C,não,não,,555,sim,sim,,
556,4001685551,"223,224",ADERENTE_PARCIAL,ADERENTE_PARCIAL,SGBD,"Arquitetura, administração e recursos de SGBD",SGBD,,parcial,média,sim,sim,texto,não,sim,plataforma secundária,B,não,não,,556,sim,sim,,
557,4001685558,"224,225",ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,"Modelo conceitual, lógico, ER e cardinalidade","Modelagem conceitual, lógica e física",,direta,alta,sim,sim,texto,não,sim,plataforma secundária,B,não,não,,557,sim,sim,,
558,4001685562,225,ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,"Modelo conceitual, lógico, ER e cardinalidade","Modelagem conceitual, lógica e física",,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,E,não,não,,558,sim,sim,,
559,4001687697,"225,226",ADERENTE_DIRETA,ADERENTE_DIRETA,NoSQL,Modelos NoSQL,Banco de dados NoSQL,,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,D,não,não,,559,sim,sim,,
560,4001725075,226,ADERENTE_DIRETA,ADERENTE_DIRETA,SGBD,"Triggers, eventos e granularidade de disparo",SGBD,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,B,não,não,,560,sim,sim,,
561,4001725080,226,ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,"Modelo conceitual, lógico, ER e cardinalidade","Modelagem conceitual, lógica e física",,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,C,não,não,,561,sim,sim,,
562,4001725082,"226,227",ADERENTE_PARCIAL,ADERENTE_PARCIAL,SGBD,"Arquitetura, administração e recursos de SGBD",Propriedades de banco de dados,SGBD,parcial,média,sim,sim,texto,não,sim,plataforma secundária,D,não,não,,562,sim,sim,,
563,4001785227,227,ADERENTE_PARCIAL,ADERENTE_PARCIAL,SGBD,"Arquitetura, administração e recursos de SGBD","Modelagem conceitual, lógica e física",,parcial,média,sim,sim,tabela,sim,sim,plataforma secundária,B,não,não,,563,sim,sim,RECUPERADA_INTEGRALMENTE,
564,4001785233,227,ADERENTE_DIRETA,ADERENTE_DIRETA,UX,"Formulários, interface e experiência do usuário","Modelagem conceitual, lógica e física",,direta,alta,sim,sim,texto,não,sim,plataforma secundária,D,não,não,,564,sim,sim,,
565,4001851411,"227,228",ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,"Modelo conceitual, lógico, ER e cardinalidade","Modelagem conceitual, lógica e física",,direta,alta,sim,sim,texto,não,sim,plataforma secundária,A,não,não,,565,sim,sim,,
566,4001892991,228,ADERENTE_PARCIAL,ADERENTE_PARCIAL,SGBD,"Arquitetura, administração e recursos de SGBD",SGBD,,parcial,média,sim,sim,texto,não,sim,plataforma secundária,B,não,não,,566,sim,sim,,
567,4001892992,228,ADERENTE_PARCIAL,ADERENTE_PARCIAL,SGBD,"Triggers, eventos e granularidade de disparo",SGBD,,parcial,média,sim,sim,texto,não,sim,plataforma secundária,E,não,não,,567,sim,sim,,
568,4002130258,"228,229",ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,"Modelo conceitual, lógico, ER e cardinalidade","Modelagem conceitual, lógica e física",,direta,alta,sim,sim,texto,não,sim,plataforma secundária,C,não,não,,568,sim,sim,,
569,4002131772,229,ADERENTE_PARCIAL,ADERENTE_PARCIAL,SGBD,"Arquitetura, administração e recursos de SGBD",SGBD,,parcial,média,sim,sim,texto,não,sim,plataforma secundária,D,não,não,,569,sim,sim,,
570,4002425834,229,ADERENTE_DIRETA,ADERENTE_DIRETA,Transações,"ACID, concorrência e transações distribuídas",Propriedades de banco de dados,SGBD,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,C,não,não,,570,sim,sim,,
571,4001445957,"229,230",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,A,não,não,,571,sim,sim,,
572,4001572747,230,ADERENTE_PARCIAL,ADERENTE_PARCIAL,SGBD,"Arquitetura, administração e recursos de SGBD",SGBD,,parcial,média,sim,sim,texto,não,sim,plataforma secundária,B,não,não,,572,sim,sim,RECUPERADA_INTEGRALMENTE,
